,NPI,Group Name,Facility Type,Does this provider offer telehealth?,Street Address,Street Address 2,City,State,County,Zip,ACA Network IDs,Non-ACA Network Name,Non-ACA Network IDs,Geocoded Address,Latitude,Longitude,Accuracy Type,is_substance_abuse_rehab,is_sud_rehab_clinic,is_multispecialty_clinic
18,1023591104,SANDSTONE CARE COS LLC,072 Substance Use Disorder Rehabilitation Facility (Hospital unit and residential treatment facility),No,5250 PIKES PEAK HWY,,CASCADE,CO,EL PASO,80809,"CON004, CON005",,,,38.906046, -104.979598,True,,
64,1073774667,BHG LONGMONT TREATMENT CENTER,072 Substance Use Disorder Rehabilitation Facility (Hospital unit and residential treatment facility),No,850 23RD AVE,,LONGMONT,CO,BOULDER,80501,"CON005, CON006",,,"850 23rd Ave, Longmont, CO 80501",40.199966,-105.105443,rooftop,True,,
11,1114316965,NORTHSTAR TRANSITIONS LLC,072 Substance Use Disorder Rehabilitation Facility (Hospital unit and residential treatment facility),No,3004 ARAPAHOE AVE,,BOULDER,CO,BOULDER,80303,"CON004, CON005, CON007, CON008",,,"3004 Arapahoe Ave, Boulder, CO 80303",40.014,-105.253151,rooftop,True,,
40,1114316965,Northstar Transitions,072 Substance USE Disorder Rehabilitation Facility (Hospital unit AND residential treatment facility),,75 Manhattan Dr,,Boulder,CO,Boulder,80303,,Blue Priority HMO,Med002,"75 Manhattan Dr, Boulder, CO 80303",39.987056,-105.227965,rooftop,True,,
12,1114316965,NORTHSTAR TRANSITIONS LLC,072 Substance Use Disorder Rehabilitation Facility (Hospital unit and residential treatment facility),No,450 S 40TH ST,,BOULDER,CO,BOULDER,80305,"CON004, CON005, CON007, CON008",,,"450 S 40th St, Boulder, CO 80305",39.986401,-105.247043,rooftop,True,,
13,1114316965,NORTHSTAR TRANSITIONS LLC,072 Substance Use Disorder Rehabilitation Facility (Hospital unit and residential treatment facility),No,75 MANHATTAN DR,STE 110,BOULDER,CO,BOULDER,80303,"CON004, CON005, CON007, CON008",,,"75 Manhattan Dr, Ste 110, Boulder, CO 80303",39.987056,-105.227965,rooftop,True,,
97,1114316965,Northstar Transitions,072 Substance USE Disorder Rehabilitation Facility (Hospital unit AND residential treatment facility),,1236 Ridge Rd,,Ward,CO,Boulder,80481,,Blue Priority PPO,Med001,"1236 Ridge Rd, Ward, CO 80481",40.112957,-105.428815,rooftop,True,,
98,1114316965,Northstar Transitions,072 Substance USE Disorder Rehabilitation Facility (Hospital unit AND residential treatment facility),,6630 Gunpark Dr,,Boulder,CO,Boulder,80301,,Blue Priority PPO,Med001,"6630 Gunpark Dr, Boulder, CO 80301",40.069426,-105.1987,rooftop,True,,
47,1114586278,Poudre Valley Hospital,072 Substance USE Disorder Rehabilitation Facility (Hospital unit AND residential treatment facility),,1106 E Prospect Rd,Ste 200,Fort Collins,CO,Larimer,80525,,HMO,Med001,"1106 E Prospect Rd, Ste 200, Fort Collins, CO 80525",40.567776,-105.05741,rooftop,True,,
46,1114586278,Poudre Valley Hospital,072 Substance USE Disorder Rehabilitation Facility (Hospital unit AND residential treatment facility),,1024 S Lemay Ave,,Fort Collins,CO,Larimer,80524,,HMO,Med001,"1024 S Lemay Ave, Fort Collins, CO 80524",40.571679,-105.056576,rooftop,True,,
