addresses,Group Name,Facility Type,NPI,Street Address,Street Address 2,City,State,Zip,is_substance_abuse_rehab,is_sud_rehab_clinic,is_multispecialty_clinic,Geocoded Address,Latitude,Longitude,Accuracy Type
"[{'address': '71 BRADLEY RD UNIT 6', 'city': 'MADISON', 'state': 'CT', 'zip': '06443', 'phone': '2037125697'}]",RECOVERY SERVICES OF CONNECTICUT,,1578076360,71 BRADLEY RD UNIT 6,,MADISON,CT,6443,False,True,False,"71 Bradley Rd, Unit 6, Madison, CT 06443",41.282357,-72.599175,rooftop
"[{'address': '62 CARTER RD', 'city': 'KENT', 'state': 'CT', 'zip': '06757', 'phone': '8609273772'}, {'address': '62 CARTER RD', 'city': 'KENT', 'state': 'CT', 'zip': '06757', 'phone': '6032250123'}]",HIGH WATCH RECOVERY CENTER,"['Behavioral Health', 'Hospitals and Facilities']",1275946881,62 CARTER RD.,,KENT,CT,6757,True,False,False,"62 Carter Rd, Kent, CT 06757",41.765241,-73.412385,rooftop
"[{'address': '4675 MAIN ST', 'city': 'BRIDGEPORT', 'state': 'CT', 'zip': '06606', 'phone': '2033440025'}, {'address': '3851 MAIN ST', 'city': 'BRIDGEPORT', 'state': 'CT', 'zip': '06606', 'phone': '2033723333'}, {'address': '311 EAST ST', 'city': 'NEW HAVEN', 'state': 'CT', 'zip': '06511', 'phone': '2035622101'}, {'address': '3851 MAIN ST', 'city': 'BRIDGEPORT', 'state': 'CT', 'zip': '06606', 'phone': '2035622101'}]",NEW ERA REHABILITATION CENTER INC,"['Behavioral Health', 'Hospitals and Facilities']",1255372108,4675 MAIN STREET,,BRIDGEPORT,CT,6606,False,True,False,"4675 Main St, Bridgeport, CT 06606",41.223928,-73.21938,rooftop
"[{'address': '900 WATERTOWN AVE', 'city': 'WATERBURY', 'state': 'CT', 'zip': '06708', 'phone': '2037568984'}]",Central Naugatuck Valley Help,,1326246687,900 WATERTOWN AVE,,WATERBURY,CT,6708,True,False,False,"900 Watertown Ave, Waterbury, CT 06708",41.573946,-73.064182,rooftop
"[{'address': '3300 MAIN ST', 'city': 'STRATFORD', 'state': 'CT', 'zip': '06614', 'phone': '2033784514'}]",RAYMOND T LASKOWSKI LCSW,,1598844714,3300 MAIN ST,,STRATFORD,CT,6614,False,True,False,"3300 Main St, Stratford, CT 06614",41.205423,-73.131589,rooftop
"[{'address': '6 WAY RD', 'city': 'MIDDLEFIELD', 'state': 'CT', 'zip': '06455', 'phone': '2036311743'}, {'address': '169 COLONY ST', 'city': 'MERIDEN', 'state': 'CT', 'zip': '06451', 'phone': '2036311743'}]",Tricircle Corporatio N,,1700384856,6 WAY RD,,MIDDLEFIELD,CT,6455,False,True,False,"6 Way Rd, Middlefield, CT 06455",41.512853,-72.724106,rooftop
"[{'address': '77 S CANAAN RD', 'city': 'CANAAN', 'state': 'CT', 'zip': '06018', 'phone': '8604962100'}, {'address': '969 W MAIN ST', 'city': 'WATERBURY', 'state': 'CT', 'zip': '06708', 'phone': '8604962100'}, {'address': '469 MIGEON AVE', 'city': 'TORRINGTON', 'state': 'CT', 'zip': '06790', 'phone': '8604962100'}, {'address': '58 HIGH ST', 'city': 'TORRINGTON', 'state': 'CT', 'zip': '06790', 'phone': '8604825507'}, {'address': '24 SHELTER ROCK RD', 'city': 'DANBURY', 'state': 'CT', 'zip': '06810', 'phone': '8604962100'}, {'address': '900 WATERTOWN AVE', 'city': 'WATERBURY', 'state': 'CT', 'zip': '06708', 'phone': '2037568984'}, {'address': '231 N MAIN ST', 'city': 'WINSTED', 'state': 'CT', 'zip': '06098', 'phone': '8604962100'}, {'address': '58 HIGH ST', 'city': 'TORRINGTON', 'state': 'CT', 'zip': '06790', 'phone': '8604962100'}]",The Mccall Foundation,"['Behavioral Health', 'Hospitals and Facilities']",1043362429,58 HIGH ST,,TORRINGTON,CT,6790,True,False,False,"58 High St, Torrington, CT 06790",41.80303,-73.131,rooftop
"[{'address': '580 NAUGATUCK AVE', 'city': 'MILFORD', 'state': 'CT', 'zip': '06461', 'phone': '2034461848'}]",Covenant Family Services,,1134478357,550 NEW HAVEN AVE,,MILFORD,CT,6460,False,True,False,"550 New Haven Ave, Milford, CT 06460",41.22575,-73.030433,rooftop
"[{'address': '184 FRONT AVE', 'city': 'WEST HAVEN', 'state': 'CT', 'zip': '06516', 'phone': '2037814600'}, {'address': '1 LONG WHARF DR', 'city': 'NEW HAVEN', 'state': 'CT', 'zip': '06511', 'phone': '2037814600'}, {'address': '352 STATE ST', 'city': 'NORTH HAVEN', 'state': 'CT', 'zip': '06473', 'phone': '2037814600'}, {'address': '495 CONGRESS AVE', 'city': 'NEW HAVEN', 'state': 'CT', 'zip': '06519', 'phone': '2037814740'}, {'address': '1 LONG WHARF DR STE 321', 'city': 'NEW HAVEN', 'state': 'CT', 'zip': '06511', 'phone': '2037814600'}]",Access Center,"['Behavioral Health', 'Hospitals and Facilities']",1861558165,1 LONG WHARF DR,STE 10,NEW HAVEN,CT,6511,False,True,False,"1 Long Wharf Dr, New Haven, CT 06511",41.28952,-72.929888,rooftop
"[{'address': '16 HOSPITAL AVE', 'city': 'DANBURY', 'state': 'CT', 'zip': '06810', 'phone': '2037782437'}]",Apex Community Care Inc - Behavioral Health,,1982037602,16 HOSPITAL AVE,,DANBURY,CT,6810,False,True,False,"16 Hospital Ave, Danbury, CT 06810",41.403361,-73.44706,rooftop
"[{'address': '2 TRAP FALLS RD STE 120', 'city': 'SHELTON', 'state': 'CT', 'zip': '06484', 'phone': '2038166424'}]",Progressive Institute,"['Behavioral Health', 'Hospitals and Facilities']",1669944724,2 TRAP FALLS RD STE 120,,SHELTON,CT,6484,False,True,False,"2 Trap Falls Rd, Ste 120, Shelton, CT 06484",41.2688,-73.131476,rooftop
"[{'address': '444 CENTER ST', 'city': 'MANCHESTER', 'state': 'CT', 'zip': '06040', 'phone': '8605281359'}, {'address': '150 N MAIN ST STE 240', 'city': 'MANCHESTER', 'state': 'CT', 'zip': '06042', 'phone': '8605281359'}, {'address': '94 UNION ST', 'city': 'VERNON ROCKVILLE', 'state': 'CT', 'zip': '06066', 'phone': '8605281359'}, {'address': '809 MAIN ST', 'city': 'EAST HARTFORD', 'state': 'CT', 'zip': '06108', 'phone': '8605281359'}, {'address': '94 CONNECTICUT BLVD', 'city': 'EAST HARTFORD', 'state': 'CT', 'zip': '06108', 'phone': '8605281359'}, {'address': '478 BURNSIDE AVE', 'city': 'EAST HARTFORD', 'state': 'CT', 'zip': '06108', 'phone': '8605281359'}, {'address': '150 N MAIN ST', 'city': 'MANCHESTER', 'state': 'CT', 'zip': '06042', 'phone': '8605281359'}, {'address': '478 BURNSIDE AVE STE 2', 'city': 'EAST HARTFORD', 'state': 'CT', 'zip': '06108', 'phone': '8605281359'}, {'address': '110 CONNECTICUT BLVD', 'city': 'EAST HARTFORD', 'state': 'CT', 'zip': '06108', 'phone': '8605281359'}, {'address': '96 CONNECTICUT BLVD', 'city': 'EAST HARTFORD', 'state': 'CT', 'zip': '06108', 'phone': '8605281359'}, {'address': '92 CONNECTICUT BLVD', 'city': 'EAST HARTFORD', 'state': 'CT', 'zip': '06108', 'phone': '8605281359'}, {'address': '265 ELLINGTON RD', 'city': 'EAST HARTFORD', 'state': 'CT', 'zip': '06108', 'phone': '8602820520'}]",FIRST CHOICE HEALTH CENTERS INC,,1215923131,110 CONNECTICUT BOULEVARD,,EAST HARTFORD,CT,6108,False,True,False,"110 Connecticut Blvd, East Hartford, CT 06108",41.769567,-72.648808,range_interpolation
