zipcode,state,population,combined_all_facilities,combined_all_facilities_capped_viz
21215,MD,54198.0,103,18.0
21218,MD,46238.0,84,18.0
92627,CA,61764.0,81,18.0
21217,MD,30448.0,78,18.0
33407,FL,34558.0,77,18.0
80631,CO,52336.0,70,18.0
21202,MD,22247.0,68,18.0
21216,MD,27729.0,67,18.0
90265,CA,15186.0,67,18.0
21201,MD,18382.0,62,18.0
92660,CA,36259.0,58,18.0
21229,MD,43464.0,54,18.0
91367,CA,46498.0,52,18.0
21206,MD,49470.0,52,18.0
92626,CA,50885.0,50,18.0
92648,CA,46691.0,48,18.0
21213,MD,28217.0,47,18.0
33409,FL,33061.0,47,18.0
92675,CA,35203.0,47,18.0
80538,CO,49084.0,46,18.0
85258,AZ,25203.0,46,18.0
92708,CA,57192.0,45,18.0
60607,IL,31816.0,44,18.0
33445,FL,32265.0,44,18.0
91356,CA,30664.0,42,18.0
21740,MD,65619.0,41,18.0
41501,KY,22636.0,38,18.0
33462,FL,33982.0,37,18.0
10467,NY,103660.0,37,18.0
33461,FL,47161.0,37,18.0
33483,FL,13103.0,36,18.0
86305,AZ,19555.0,35,18.0
07102,NJ,15047.0,35,18.0
33401,FL,31302.0,34,18.0
34952,FL,42630.0,34,18.0
99701,AK,18357.0,34,18.0
85012,AZ,8201.0,33,18.0
21237,MD,31477.0,33,18.0
81001,CO,31107.0,33,18.0
98902,WA,47589.0,33,18.0
21212,MD,32317.0,33,18.0
21225,MD,34138.0,33,18.0
85006,AZ,23797.0,32,18.0
85260,AZ,37967.0,32,18.0
34994,FL,17843.0,32,18.0
21224,MD,54266.0,32,18.0
80634,CO,65980.0,31,18.0
33408,FL,18965.0,31,18.0
21205,MD,14691.0,31,18.0
12534,NY,17539.0,31,18.0
92651,CA,24096.0,31,18.0
21157,MD,38584.0,30,18.0
86301,AZ,25115.0,30,18.0
21208,MD,35007.0,30,18.0
21801,MD,31183.0,30,18.0
33064,FL,62429.0,30,18.0
33144,FL,25814.0,30,18.0
92663,CA,20812.0,30,18.0
20706,MD,43623.0,29,18.0
77036,TX,75870.0,29,18.0
91364,CA,27071.0,29,18.0
91302,CA,25468.0,29,18.0
92646,CA,56788.0,29,18.0
21286,MD,21470.0,29,18.0
10461,NY,54901.0,29,18.0
89146,NV,19777.0,29,18.0
33426,FL,25155.0,29,18.0
85210,AZ,40351.0,28,18.0
80525,CO,55901.0,28,18.0
21234,MD,67308.0,28,18.0
90211,CA,8260.0,28,18.0
84107,UT,37713.0,28,18.0
85339,AZ,50447.0,28,18.0
33308,FL,29519.0,28,18.0
63110,MO,18199.0,27,18.0
92653,CA,30077.0,27,18.0
92629,CA,25939.0,27,18.0
21223,MD,20438.0,27,18.0
21207,MD,46595.0,27,18.0
33155,FL,43695.0,27,18.0
92647,CA,60455.0,27,18.0
89102,NV,36035.0,27,18.0
92691,CA,47918.0,26,18.0
33435,FL,37318.0,26,18.0
33309,FL,37642.0,26,18.0
33063,FL,56296.0,26,18.0
12208,NY,22118.0,26,18.0
21231,MD,17062.0,26,18.0
33463,FL,64608.0,25,18.0
89119,NV,48895.0,25,18.0
33444,FL,22671.0,25,18.0
21117,MD,59154.0,25,18.0
85041,AZ,64639.0,25,18.0
92262,CA,26593.0,25,18.0
91311,CA,39014.0,25,18.0
80014,CO,41711.0,25,18.0
42701,KY,52731.0,25,18.0
33410,FL,35946.0,25,18.0
91335,CA,76650.0,24,18.0
60608,IL,75770.0,24,18.0
92024,CA,51190.0,24,18.0
90804,CA,39370.0,24,18.0
21228,MD,50418.0,24,18.0
91325,CA,35250.0,23,18.0
33012,FL,70260.0,23,18.0
71201,LA,21565.0,23,18.0
99508,AK,34394.0,23,18.0
85016,AZ,37326.0,23,18.0
12180,NY,55907.0,23,18.0
85254,AZ,46352.0,23,18.0
85225,AZ,73551.0,23,18.0
80751,CO,17702.0,22,18.0
89121,NV,68692.0,22,18.0
59901,MT,57900.0,22,18.0
91324,CA,29500.0,22,18.0
84770,UT,44505.0,22,18.0
21214,MD,19344.0,22,18.0
33135,FL,36232.0,22,18.0
33186,FL,69866.0,22,18.0
33414,FL,59802.0,22,18.0
93534,CA,43906.0,22,18.0
33458,FL,55083.0,22,18.0
20774,MD,51984.0,22,18.0
85712,AZ,33108.0,21,18.0
28801,NC,15148.0,21,18.0
33431,FL,22047.0,21,18.0
33313,FL,63284.0,21,18.0
33316,FL,12669.0,21,18.0
92410,CA,51651.0,21,18.0
33404,FL,31869.0,21,18.0
20850,MD,51045.0,21,18.0
91436,CA,15189.0,21,18.0
91316,CA,28777.0,21,18.0
08755,NJ,28643.0,21,18.0
94403,CA,45057.0,21,18.0
90069,CA,20584.0,21,18.0
21032,MD,9180.0,21,18.0
33166,FL,26106.0,21,18.0
85255,AZ,44976.0,20,18.0
21701,MD,39629.0,20,18.0
85745,AZ,36774.0,20,18.0
92801,CA,63163.0,20,18.0
20785,MD,41636.0,20,18.0
93101,CA,30513.0,20,18.0
21230,MD,36660.0,20,18.0
91301,CA,24790.0,20,18.0
33613,FL,38801.0,20,18.0
85282,AZ,52351.0,20,18.0
63141,MO,21995.0,20,18.0
90029,CA,34695.0,20,18.0
33403,FL,13779.0,20,18.0
33173,FL,33648.0,20,18.0
93003,CA,50558.0,20,18.0
21061,MD,57352.0,20,18.0
85021,AZ,40943.0,19,18.0
77074,TX,40199.0,19,18.0
21601,MD,23945.0,19,18.0
59801,MT,30629.0,19,18.0
85032,AZ,68710.0,19,18.0
58104,ND,48150.0,19,18.0
80537,CO,43603.0,19,18.0
80012,CO,49897.0,19,18.0
33062,FL,25293.0,19,18.0
57701,SD,46258.0,19,18.0
