zipcode,state,population,is_multispecialty_clinic,is_multispecialty_clinic_capped_viz
80538,CO,49084.0,42,7.0
80631,CO,52336.0,41,7.0
10467,NY,103660.0,33,7.0
85012,AZ,8201.0,30,7.0
85006,AZ,23797.0,30,7.0
33144,FL,25814.0,30,7.0
12534,NY,17539.0,30,7.0
80634,CO,65980.0,28,7.0
10461,NY,54901.0,28,7.0
33155,FL,43695.0,27,7.0
63110,MO,18199.0,26,7.0
41501,KY,22636.0,25,7.0
12208,NY,22118.0,24,7.0
98902,WA,47589.0,23,7.0
90211,CA,8260.0,22,7.0
33186,FL,69866.0,21,7.0
33166,FL,26106.0,21,7.0
85258,AZ,25203.0,20,7.0
12180,NY,55907.0,20,7.0
33012,FL,70260.0,20,7.0
33135,FL,36232.0,20,7.0
12414,NY,10163.0,19,7.0
94403,CA,45057.0,18,7.0
58104,ND,48150.0,17,7.0
33544,FL,27309.0,17,7.0
21201,MD,18382.0,17,7.0
33134,FL,38739.0,17,7.0
33613,FL,38801.0,17,7.0
33542,FL,22649.0,17,7.0
33173,FL,33648.0,16,7.0
33126,FL,48751.0,16,7.0
78539,TX,37686.0,16,7.0
59901,MT,57900.0,16,7.0
77036,TX,75870.0,16,7.0
77450,TX,72977.0,16,7.0
92660,CA,36259.0,15,7.0
80537,CO,43603.0,15,7.0
80751,CO,17702.0,15,7.0
57701,SD,46258.0,15,7.0
75093,TX,48081.0,15,7.0
33024,FL,74843.0,15,7.0
60608,IL,75770.0,14,7.0
99508,AK,34394.0,14,7.0
33607,FL,24767.0,14,7.0
80525,CO,55901.0,14,7.0
99701,AK,18357.0,14,7.0
63141,MO,21995.0,14,7.0
89146,NV,19777.0,13,7.0
33157,FL,68069.0,13,7.0
77074,TX,40199.0,13,7.0
33511,FL,56627.0,13,7.0
60016,IL,61888.0,13,7.0
80907,CO,28806.0,13,7.0
33614,FL,47695.0,13,7.0
77380,TX,27651.0,13,7.0
82201,WY,6395.0,13,7.0
93003,CA,50558.0,12,7.0
21237,MD,31477.0,12,7.0
77304,TX,35969.0,12,7.0
33145,FL,29737.0,12,7.0
33016,FL,45714.0,12,7.0
75231,TX,40754.0,12,7.0
12184,NY,7178.0,12,7.0
30024,GA,87115.0,12,7.0
89102,NV,36035.0,12,7.0
32256,FL,53611.0,12,7.0
54403,WI,24712.0,12,7.0
33165,FL,54070.0,12,7.0
89119,NV,48895.0,12,7.0
48126,MI,55863.0,11,7.0
84107,UT,37713.0,11,7.0
54915,WI,43190.0,11,7.0
33174,FL,32962.0,11,7.0
11375,NY,72851.0,11,7.0
85381,AZ,27008.0,11,7.0
39520,MS,14963.0,11,7.0
10001,NY,32612.0,11,7.0
96813,HI,27372.0,11,7.0
33805,FL,26954.0,11,7.0
85308,AZ,66540.0,10,7.0
77081,TX,48293.0,10,7.0
98104,WA,16157.0,10,7.0
85712,AZ,33108.0,10,7.0
33143,FL,34853.0,10,7.0
80222,CO,22381.0,10,7.0
85260,AZ,37967.0,10,7.0
75243,TX,62273.0,10,7.0
10459,NY,50984.0,10,7.0
10019,NY,49029.0,10,7.0
77478,TX,24536.0,10,7.0
80920,CO,39540.0,10,7.0
77469,TX,57925.0,10,7.0
77477,TX,35520.0,10,7.0
25701,WV,22342.0,10,7.0
33431,FL,22047.0,10,7.0
98908,WA,38205.0,10,7.0
60612,IL,34402.0,10,7.0
10458,NY,81299.0,10,7.0
97214,OR,28403.0,9,7.0
75062,TX,50466.0,9,7.0
10016,NY,62336.0,9,7.0
77584,TX,93062.0,9,7.0
98034,WA,51464.0,9,7.0
39819,GA,12117.0,9,7.0
98004,WA,39136.0,9,7.0
89121,NV,68692.0,9,7.0
63017,MO,42773.0,9,7.0
85395,AZ,37157.0,9,7.0
73104,OK,3545.0,9,7.0
75034,TX,47734.0,9,7.0
33409,FL,33061.0,9,7.0
34471,FL,27632.0,9,7.0
33014,FL,40261.0,9,7.0
80234,CO,29660.0,9,7.0
92708,CA,57192.0,9,7.0
60607,IL,31816.0,9,7.0
96792,HI,51965.0,9,7.0
99503,AK,13550.0,9,7.0
11230,NY,91391.0,9,7.0
46410,IN,39471.0,9,7.0
57783,SD,16165.0,9,7.0
12206,NY,17219.0,9,7.0
85254,AZ,46352.0,9,7.0
12065,NY,43893.0,9,7.0
85234,AZ,51051.0,9,7.0
85014,AZ,26381.0,9,7.0
85032,AZ,68710.0,9,7.0
77054,TX,24419.0,9,7.0
82240,WY,9689.0,9,7.0
84403,UT,37847.0,9,7.0
34994,FL,17843.0,9,7.0
93534,CA,43906.0,9,7.0
33030,FL,36776.0,9,7.0
33175,FL,52950.0,8,7.0
