zipcode,state,population,is_sud_rehab_clinic,is_sud_rehab_clinic_capped_viz
21215,MD,54198.0,45,6.0
21218,MD,46238.0,34,6.0
21229,MD,43464.0,31,6.0
21202,MD,22247.0,30,6.0
33407,FL,34558.0,30,6.0
81001,CO,31107.0,29,6.0
21201,MD,18382.0,25,6.0
21217,MD,30448.0,24,6.0
21740,MD,65619.0,23,6.0
33409,FL,33061.0,22,6.0
80631,CO,52336.0,22,6.0
33445,FL,32265.0,21,6.0
21224,MD,54266.0,20,6.0
21208,MD,35007.0,20,6.0
92660,CA,36259.0,20,6.0
21157,MD,38584.0,17,6.0
20774,MD,51984.0,15,6.0
33064,FL,62429.0,15,6.0
86305,AZ,19555.0,15,6.0
21212,MD,32317.0,15,6.0
85258,AZ,25203.0,15,6.0
33408,FL,18965.0,15,6.0
21117,MD,59154.0,14,6.0
92626,CA,50885.0,14,6.0
21225,MD,34138.0,14,6.0
21234,MD,67308.0,14,6.0
33461,FL,47161.0,14,6.0
21216,MD,27729.0,14,6.0
21213,MD,28217.0,13,6.0
34952,FL,42630.0,13,6.0
21286,MD,21470.0,13,6.0
34994,FL,17843.0,13,6.0
33426,FL,25155.0,13,6.0
21228,MD,50418.0,13,6.0
92627,CA,61764.0,13,6.0
21206,MD,49470.0,12,6.0
21207,MD,46595.0,12,6.0
19904,DE,36880.0,12,6.0
20706,MD,43623.0,12,6.0
80501,CO,42822.0,12,6.0
92648,CA,46691.0,12,6.0
92243,CA,49149.0,12,6.0
33483,FL,13103.0,12,6.0
85260,AZ,37967.0,12,6.0
33462,FL,33982.0,11,6.0
60619,IL,63303.0,11,6.0
93230,CA,68412.0,11,6.0
20785,MD,41636.0,11,6.0
85282,AZ,52351.0,11,6.0
90265,CA,15186.0,11,6.0
92675,CA,35203.0,11,6.0
86301,AZ,25115.0,11,6.0
33401,FL,31302.0,11,6.0
59601,MT,30848.0,11,6.0
33463,FL,64608.0,11,6.0
33435,FL,37318.0,11,6.0
21205,MD,14691.0,10,6.0
81101,CO,15657.0,10,6.0
90301,CA,36270.0,10,6.0
80525,CO,55901.0,10,6.0
91367,CA,46498.0,10,6.0
21221,MD,43381.0,10,6.0
21601,MD,23945.0,10,6.0
71201,LA,21565.0,10,6.0
81082,CO,12026.0,9,6.0
