zipcode,state,population,is_sud_rehab_clinic_per_100k,is_sud_rehab_clinic_per_100k_capped_viz
85034,AZ,5033.0,139.08205841446454,28.84452324464674
21201,MD,18382.0,136.002611250136,28.84452324464674
21202,MD,22247.0,134.84964264844697,28.84452324464674
81001,CO,31107.0,93.22660494422477,28.84452324464674
33483,FL,13103.0,91.58208043959398,28.84452324464674
93609,CA,5694.0,87.81173164734808,28.84452324464674
33407,FL,34558.0,86.81057931593264,28.84452324464674
21215,MD,54198.0,83.02889405513119,28.84452324464674
10018,NY,11145.0,80.75370121130553,28.84452324464674
55114,MN,5012.0,79.80845969672785,28.84452324464674
33408,FL,18965.0,79.09306617453204,28.84452324464674
21217,MD,30448.0,78.8229111928534,28.84452324464674
08734,NJ,7702.0,77.90184367696703,28.84452324464674
86305,AZ,19555.0,76.7067246228586,28.84452324464674
21032,MD,9180.0,76.25272331154683,28.84452324464674
81082,CO,12026.0,74.83785132213538,28.84452324464674
21218,MD,46238.0,73.5325922401488,28.84452324464674
34994,FL,17843.0,72.8577033010144,28.84452324464674
90265,CA,15186.0,72.43513762676149,28.84452324464674
21229,MD,43464.0,71.32339407325603,28.84452324464674
82301,WY,8539.0,70.26583909122849,28.84452324464674
21205,MD,14691.0,68.06888571234089,28.84452324464674
44115,OH,8985.0,66.7779632721202,28.84452324464674
33409,FL,33061.0,66.54366171622152,28.84452324464674
81052,CO,9142.0,65.6311529205863,28.84452324464674
33445,FL,32265.0,65.08600650860065,28.84452324464674
81101,CO,15657.0,63.86919588682379,28.84452324464674
64108,MO,9839.0,60.9818070942169,28.84452324464674
71101,LA,6560.0,60.97560975609756,28.84452324464674
21286,MD,21470.0,60.549604098742435,28.84452324464674
49866,MI,8259.0,60.54001695120475,28.84452324464674
81006,CO,11653.0,60.07036814554192,28.84452324464674
07102,NJ,15047.0,59.81258722668971,28.84452324464674
85258,AZ,25203.0,59.51672419950006,28.84452324464674
18101,PA,5108.0,58.73140172278779,28.84452324464674
21208,MD,35007.0,57.1314308566858,28.84452324464674
21617,MD,10719.0,55.97537083683179,28.84452324464674
92660,CA,36259.0,55.15871921453984,28.84452324464674
63103,MO,9411.0,53.129316756986505,28.84452324464674
62448,IL,5719.0,52.456723203357235,28.84452324464674
62363,IL,5726.0,52.39259517988125,28.84452324464674
33426,FL,25155.0,51.67958656330749,28.84452324464674
93204,CA,13720.0,51.02040816326531,28.84452324464674
33403,FL,13779.0,50.801944988751,28.84452324464674
21216,MD,27729.0,50.488658083594785,28.84452324464674
81050,CO,9924.0,50.382910116888354,28.84452324464674
93625,CA,8194.0,48.816206980717595,28.84452324464674
23662,VA,12460.0,48.154093097913325,28.84452324464674
41240,KY,6279.0,47.778308647873864,28.84452324464674
21212,MD,32317.0,46.41519943064022,28.84452324464674
71201,LA,21565.0,46.37143519591931,28.84452324464674
28801,NC,15148.0,46.21072088724584,28.84452324464674
21213,MD,28217.0,46.07151717050005,28.84452324464674
59401,MT,13030.0,46.04758250191865,28.84452324464674
21727,MD,6593.0,45.50280600637039,28.84452324464674
21613,MD,17967.0,44.5260755830133,28.84452324464674
04101,ME,18109.0,44.17692859903915,28.84452324464674
21157,MD,38584.0,44.059713871034624,28.84452324464674
