zipcode,state,population,is_substance_abuse_rehab,is_substance_abuse_rehab_capped_viz
92627,CA,61764.0,63,8.0
21215,MD,54198.0,56,8.0
21217,MD,30448.0,53,8.0
90265,CA,15186.0,53,8.0
21216,MD,27729.0,50,8.0
21218,MD,46238.0,44,8.0
91367,CA,46498.0,40,8.0
33407,FL,34558.0,39,8.0
21206,MD,49470.0,37,8.0
92675,CA,35203.0,36,8.0
21213,MD,28217.0,34,8.0
91356,CA,30664.0,32,8.0
21202,MD,22247.0,32,8.0
92648,CA,46691.0,32,8.0
92626,CA,50885.0,29,8.0
92708,CA,57192.0,27,8.0
60607,IL,31816.0,27,8.0
07102,NJ,15047.0,25,8.0
92651,CA,24096.0,25,8.0
92629,CA,25939.0,25,8.0
92660,CA,36259.0,23,8.0
21231,MD,17062.0,23,8.0
85041,AZ,64639.0,22,8.0
85339,AZ,50447.0,22,8.0
33462,FL,33982.0,22,8.0
21229,MD,43464.0,21,8.0
92646,CA,56788.0,21,8.0
21201,MD,18382.0,20,8.0
92262,CA,26593.0,20,8.0
21205,MD,14691.0,19,8.0
21223,MD,20438.0,19,8.0
92647,CA,60455.0,19,8.0
33444,FL,22671.0,19,8.0
91364,CA,27071.0,19,8.0
92653,CA,30077.0,19,8.0
33483,FL,13103.0,19,8.0
91302,CA,25468.0,18,8.0
92410,CA,51651.0,18,8.0
21801,MD,31183.0,18,8.0
33308,FL,29519.0,18,8.0
33401,FL,31302.0,18,8.0
92691,CA,47918.0,17,8.0
08755,NJ,28643.0,17,8.0
92624,CA,7170.0,17,8.0
92672,CA,41067.0,16,8.0
34952,FL,42630.0,16,8.0
86301,AZ,25115.0,16,8.0
33445,FL,32265.0,16,8.0
91301,CA,24790.0,16,8.0
91311,CA,39014.0,16,8.0
33409,FL,33061.0,16,8.0
92352,CA,7038.0,15,8.0
92663,CA,20812.0,15,8.0
21212,MD,32317.0,15,8.0
90804,CA,39370.0,15,8.0
33461,FL,47161.0,15,8.0
99701,AK,18357.0,15,8.0
21225,MD,34138.0,15,8.0
91405,CA,55319.0,15,8.0
21207,MD,46595.0,14,8.0
33316,FL,12669.0,14,8.0
91325,CA,35250.0,14,8.0
86305,AZ,19555.0,14,8.0
33404,FL,31869.0,14,8.0
90069,CA,20584.0,14,8.0
21740,MD,65619.0,14,8.0
33426,FL,25155.0,14,8.0
90029,CA,34695.0,14,8.0
92801,CA,63163.0,14,8.0
48208,MI,8090.0,14,8.0
92630,CA,66359.0,14,8.0
33309,FL,37642.0,14,8.0
91344,CA,52481.0,14,8.0
21122,MD,62368.0,14,8.0
91335,CA,76650.0,14,8.0
21032,MD,9180.0,14,8.0
90731,CA,61270.0,14,8.0
92677,CA,64355.0,13,8.0
92707,CA,56456.0,13,8.0
33408,FL,18965.0,13,8.0
21214,MD,19344.0,13,8.0
85210,AZ,40351.0,13,8.0
85016,AZ,37326.0,13,8.0
33414,FL,59802.0,13,8.0
33435,FL,37318.0,13,8.0
92234,CA,51509.0,13,8.0
91324,CA,29500.0,12,8.0
85254,AZ,46352.0,12,8.0
33410,FL,35946.0,12,8.0
89146,NV,19777.0,12,8.0
21237,MD,31477.0,12,8.0
90046,CA,49987.0,12,8.0
33062,FL,25293.0,12,8.0
91605,CA,54341.0,12,8.0
48503,MI,21743.0,12,8.0
92102,CA,39783.0,12,8.0
85042,AZ,45433.0,12,8.0
93101,CA,30513.0,12,8.0
42701,KY,52731.0,12,8.0
93536,CA,74283.0,11,8.0
21286,MD,21470.0,11,8.0
92805,CA,74633.0,11,8.0
93551,CA,56001.0,11,8.0
33064,FL,62429.0,11,8.0
85258,AZ,25203.0,11,8.0
90064,CA,27553.0,11,8.0
84107,UT,37713.0,11,8.0
91362,CA,35803.0,11,8.0
33063,FL,56296.0,11,8.0
90068,CA,24361.0,11,8.0
92240,CA,40920.0,11,8.0
91316,CA,28777.0,10,8.0
90405,CA,27966.0,10,8.0
85260,AZ,37967.0,10,8.0
33403,FL,13779.0,10,8.0
33458,FL,55083.0,10,8.0
92592,CA,79740.0,10,8.0
91604,CA,30947.0,10,8.0
92501,CA,22017.0,10,8.0
71201,LA,21565.0,10,8.0
92024,CA,51190.0,10,8.0
84121,UT,41628.0,10,8.0
33169,FL,42308.0,10,8.0
21230,MD,36660.0,10,8.0
92692,CA,46434.0,10,8.0
90025,CA,45466.0,10,8.0
33025,FL,75455.0,10,8.0
21157,MD,38584.0,10,8.0
21224,MD,54266.0,10,8.0
91406,CA,53252.0,10,8.0
98032,WA,38744.0,10,8.0
34984,FL,16721.0,10,8.0
34994,FL,17843.0,10,8.0
33463,FL,64608.0,10,8.0
33162,FL,45277.0,9,8.0
94901,CA,43338.0,9,8.0
91343,CA,62595.0,9,8.0
90049,CA,36980.0,9,8.0
90024,CA,52862.0,9,8.0
85053,AZ,30136.0,9,8.0
80014,CO,41711.0,9,8.0
85008,AZ,59047.0,9,8.0
20707,MD,37702.0,9,8.0
93436,CA,56730.0,9,8.0
85015,AZ,41436.0,9,8.0
33431,FL,22047.0,9,8.0
92705,CA,45902.0,9,8.0
20706,MD,43623.0,9,8.0
93706,CA,40965.0,9,8.0
95670,CA,57988.0,9,8.0
98902,WA,47589.0,9,8.0
95350,CA,55344.0,9,8.0
89102,NV,36035.0,9,8.0
84020,UT,51017.0,9,8.0
95628,CA,42824.0,9,8.0
90019,CA,62002.0,9,8.0
85716,AZ,31521.0,9,8.0
20853,MD,30611.0,9,8.0
92673,CA,29642.0,9,8.0
84770,UT,44505.0,9,8.0
33313,FL,63284.0,9,8.0
21234,MD,67308.0,9,8.0
92703,CA,65621.0,9,8.0
92868,CA,27127.0,8,8.0
95112,CA,60754.0,8,8.0
21701,MD,39629.0,8,8.0
85255,AZ,44976.0,8,8.0
93001,CA,33859.0,8,8.0
85251,AZ,40073.0,8,8.0
82901,WY,28005.0,8,8.0
91306,CA,46669.0,8,8.0
85745,AZ,36774.0,8,8.0
08060,NJ,25426.0,8,8.0
91403,CA,25329.0,8,8.0
92504,CA,54642.0,8,8.0
28801,NC,15148.0,8,8.0
48203,MI,22168.0,8,8.0
92701,CA,48789.0,8,8.0
90066,CA,55304.0,8,8.0
92563,CA,73224.0,8,8.0
90034,CA,57152.0,8,8.0
21727,MD,6593.0,8,8.0
91402,CA,70140.0,8,8.0
92054,CA,38667.0,8,8.0
85338,AZ,59313.0,8,8.0
84111,UT,12162.0,8,8.0
91606,CA,43955.0,8,8.0
80012,CO,49897.0,8,8.0
91342,CA,96429.0,8,8.0
85037,AZ,50929.0,8,8.0
89117,NV,57497.0,8,8.0
85225,AZ,73551.0,8,8.0
68701,NE,31257.0,8,8.0
91436,CA,15189.0,8,8.0
85020,AZ,34534.0,8,8.0
41230,KY,12670.0,8,8.0
93534,CA,43906.0,8,8.0
55404,MN,29322.0,8,8.0
